h,k,phi,phi_optimal,H1,V,E1,E_B,E_A,E_A_minus_E_B,E_B_over_E_A,trace_final,initial_energy,post_alice_energy,post_noise_energy,noise_energy_delta,final_global_energy
1.0,0.5,-0.3217505543966422,0.1608752771983211,-0.08944271909999163,0.6260990336999408,0.5366563145999492,-0.5366563145999492,0.8944271909999154,1.4310835055998647,-0.6,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.4310835055998647
1.0,0.5,-0.3137067905367261,0.1608752771983211,-0.0921931051874291,0.6102485339370785,0.5180554287496494,-0.5180554287496494,0.8944271909999154,1.4124826197495648,-0.5792035773985078,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.4124826197495648
1.0,0.5,-0.30566302667681006,0.1608752771983211,-0.09468815101553987,0.5943558402485277,0.4996676892329879,-0.4996676892329879,0.8944271909999154,1.3940948802329034,-0.5586454596426006,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.3940948802329034
1.0,0.5,-0.29761926281689405,0.1608752771983211,-0.09692721085906239,0.5784250657105591,0.48149785485149665,-0.48149785485149665,0.8944271909999154,1.375925045851412,-0.538330967234137,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.3759250458514123
1.0,0.5,-0.289575498956978,0.1608752771983211,-0.09890970524266732,0.5624603332548789,0.4635506280122116,-0.4635506280122116,0.8944271909999154,1.357977819012127,-0.5182653576240119,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.3579778190121272
1.0,0.5,-0.2815317350970619,0.1608752771983211,-0.10063512109092737,0.5464657746016042,0.4458306535106768,-0.4458306535106768,0.8944271909999154,1.3402578445105922,-0.49845382385151454,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.3402578445105924
1.0,0.5,-0.27348797123714585,0.1608752771983211,-0.10210301186110285,0.53044552918996,0.4283425173288572,-0.4283425173288572,0.8944271909999154,1.3227697083287726,-0.4789014932003534,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.322769708328773
1.0,0.5,-0.2654442073772298,0.1608752771983211,-0.10331299765870809,0.5144037431069808,0.4110907454482727,-0.4110907454482727,0.8944271909999154,1.3055179364481881,-0.45961342587170023,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.3055179364481881
1.0,0.5,-0.2574004435173137,0.1608752771983211,-0.1042647653358294,0.4983445680144906,0.3940798026786612,-0.3940798026786612,0.8944271909999154,1.2885069936785767,-0.44059461367459535,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.2885069936785767
1.0,0.5,-0.24935667965739772,0.1608752771983211,-0.10495806857216869,0.48227216007464063,0.37731409150247197,-0.37731409150247197,0.8944271909999154,1.2717412825023873,-0.4218499787340518,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.2717412825023875
