angle_offset,phi,phi_optimal,h,k,H1,V,E1,E_B,E_A,E_A_minus_E_B,E_B_over_E_A,trace_final,initial_energy,post_alice_energy,post_noise_energy,noise_energy_delta,final_global_energy
-0.35,-0.18912472280167889,0.1608752771983211,1.0,0.5,-0.101928601372583,0.3619191935396302,0.25999059216704723,-0.25999059216704723,0.8944271909999154,1.1544177831669626,-0.2906783187979711,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.1544177831669629
-0.33999999999999997,-0.17912472280167888,0.1608752771983211,1.0,0.5,-0.10002356254078014,0.34201046445177125,0.2419869019109911,-0.2419869019109911,0.8944271909999154,1.1364140929109066,-0.2705495811687751,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.1364140929109066
-0.32999999999999996,-0.16912472280167887,0.1608752771983211,1.0,0.5,-0.09772075666672755,0.32214381521364166,0.2244230585469141,-0.2244230585469141,0.8944271909999154,1.1188502495468295,-0.2509126073146577,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.1188502495468298
-0.31999999999999995,-0.15912472280167886,0.1608752771983211,1.0,0.5,-0.09502110484207124,0.30232719222005183,0.2073060873779806,-0.2073060873779806,0.8944271909999154,1.101733278377896,-0.231775251763338,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.1017332783778964
-0.31,-0.1491247228016789,0.1608752771983211,1.0,0.5,-0.0919256868915462,0.282568521855981,0.19064283496443482,-0.19064283496443482,0.8944271909999154,1.0850700259643502,-0.2131451692018751,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.0850700259643504
-0.3,-0.1391247228016789,0.1608752771983211,1.0,0.5,-0.08843574094106092,0.26287570732612947,0.17443996638506853,-0.17443996638506853,0.8944271909999154,1.068867157384984,-0.19502981141489587,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.0688671573849842
-0.29,-0.1291247228016789,0.1608752771983211,1.0,0.5,-0.0845526629224636,0.24325662549374166,0.15870396257127806,-0.15870396257127806,0.8944271909999154,1.0531311535711936,-0.17743642430398013,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.0531311535711936
-0.27999999999999997,-0.11912472280167888,0.1608752771983211,1.0,0.5,-0.08027800601518802,0.22371912372996633,0.1434411177147783,-0.1434411177147783,0.8944271909999154,1.0378683087146938,-0.16037204498939686,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.037868308714694
-0.26999999999999996,-0.10912472280167887,0.1608752771983211,1.0,0.5,-0.07561348002500239,0.2042710167750124,0.12865753675001002,-0.12865753675001002,0.8944271909999154,1.0230847277499255,-0.14384349899534996,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.0230847277499255
-0.26,-0.09912472280167892,0.1608752771983211,1.0,0.5,-0.07056095070011,0.18492008361235734,0.11435913291224735,-0.11435913291224735,0.8944271909999154,1.0087863239121628,-0.12785739751985936,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,1.0087863239121628
