readout_error_probability,h,k,H1,V,E1,E_B,E_A,E_A_minus_E_B,E_B_over_E_A,phi,trace_final,initial_energy,post_alice_energy,post_noise_energy,noise_energy_delta,final_global_energy
0.0,1.0,0.5,0.18732040981336842,-0.25989318568658965,-0.07257277587322122,0.07257277587322122,0.8944271909999154,0.8218544151266942,0.0811388300841897,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8218544151266944
0.02,1.0,0.5,0.18166355556387598,-0.24857947718760492,-0.06691592162372895,0.06691592162372895,0.8944271909999154,0.8275112693761865,0.07481427476385305,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8275112693761866
0.04,1.0,0.5,0.17600670131438356,-0.23726576868862004,-0.061259067374236476,0.061259067374236476,0.8944271909999154,0.8331681236256789,0.06848971944351619,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8331681236256792
0.06,1.0,0.5,0.17034984706489126,-0.22595206018963537,-0.055602213124744115,0.055602213124744115,0.8944271909999154,0.8388249778751713,0.06216516412317945,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8388249778751714
0.08,1.0,0.5,0.1646929928153989,-0.2146383516906506,-0.0499453588752517,0.0499453588752517,0.8944271909999154,0.8444818321246637,0.055840608802842646,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8444818321246639
0.1,1.0,0.5,0.15903613856590648,-0.2033246431916658,-0.04428850462575931,0.04428850462575931,0.8944271909999154,0.8501386863741561,0.04951605348250588,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8501386863741562
0.12,1.0,0.5,0.15337928431641407,-0.19201093469268127,-0.0386316503762672,0.0386316503762672,0.8944271909999154,0.8557955406236482,0.04319149816216942,0.1608752771983211,0.9999999999999997,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8557955406236484
0.14,1.0,0.5,0.1477224300669217,-0.18069722619369638,-0.032974796126774675,0.032974796126774675,0.8944271909999154,0.8614523948731407,0.03686694284183249,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.861452394873141
0.16,1.0,0.5,0.14206557581742935,-0.16938351769471166,-0.027317941877282315,0.027317941877282315,0.8944271909999154,0.8671092491226331,0.030542387521495754,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8671092491226332
0.18,1.0,0.5,0.13640872156793693,-0.15806980919572683,-0.0216610876277899,0.0216610876277899,0.8944271909999154,0.8727661033721255,0.024217832201158952,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8727661033721258
0.2,1.0,0.5,0.13075186731844454,-0.14675610069674216,-0.016004233378297622,0.016004233378297622,0.8944271909999154,0.8784229576216178,0.017893276880822304,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8784229576216182
0.22,1.0,0.5,0.1250950130689522,-0.13544239219775733,-0.010347379128805123,0.010347379128805123,0.8944271909999154,0.8840798118711103,0.01156872156048541,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8840798118711104
0.24,1.0,0.5,0.11943815881945977,-0.12412868369877267,-0.004690524879312902,0.004690524879312902,0.8944271909999154,0.8897366661206025,0.005244166240148825,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8897366661206026
0.26,1.0,0.5,0.11378130456996742,-0.11281497519978784,0.0009663293701795833,-0.0009663293701795833,0.8944271909999154,0.895393520370095,-0.0010803890801880539,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8953935203700951
0.28,1.0,0.5,0.10812445032047506,-0.10150126670080306,0.006623183619671999,-0.006623183619671999,0.8944271909999154,0.9010503746195874,-0.007404944400524856,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.9010503746195876
0.3,1.0,0.5,0.10246759607098267,-0.09018755820181835,0.012280037869164317,-0.012280037869164317,0.8944271909999154,0.9067072288690797,-0.013729499720861548,0.1608752771983211,0.9999999999999996,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.9067072288690797
0.32,1.0,0.5,0.09681074182149027,-0.07887384970283343,0.017936892118656844,-0.017936892118656844,0.8944271909999154,0.9123640831185722,-0.020054055041198473,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.9123640831185724
0.34,1.0,0.5,0.09115388757199788,-0.06756014120384879,0.023593746368149093,-0.023593746368149093,0.8944271909999154,0.9180209373680646,-0.02637861036153509,0.1608752771983211,0.9999999999999997,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.9180209373680646
0.36,1.0,0.5,0.08549703332250552,-0.05624643270486401,0.02925060061764151,-0.02925060061764151,0.8944271909999154,0.9236777916175569,-0.03270316568187189,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.9236777916175569
0.38,1.0,0.5,0.07984017907301313,-0.04493272420587921,0.034907454867133925,-0.034907454867133925,0.8944271909999154,0.9293346458670493,-0.03902772100220869,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.9293346458670496
