noise_model,noise_strength,noise_qubit,h,k,H1,V,E1,E_B,E_A,E_A_minus_E_B,E_B_over_E_A,phi,trace_final,initial_energy,post_alice_energy,post_noise_energy,noise_energy_delta,final_global_energy
dephasing,0.0,1,1.0,0.5,0.18732040981336842,-0.25989318568658965,-0.07257277587322122,0.07257277587322122,0.8944271909999154,0.8218544151266942,0.0811388300841897,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8218544151266944
dephasing,0.02,1,1.0,0.5,0.18166355556387595,-0.2429226229381125,-0.06125906737423656,0.06125906737423656,0.8944271909999154,0.8331681236256788,0.06848971944351628,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.9123157348199139,0.017888543819998493,0.833168123625679
dephasing,0.04,1,1.0,0.5,0.17600670131438356,-0.22595206018963526,-0.0499453588752517,0.0499453588752517,0.8944271909999154,0.8444818321246637,0.055840608802842646,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.9302042786399121,0.03577708763999665,0.8444818321246637
dephasing,0.06,1,1.0,0.5,0.1703498470648912,-0.20898149744115824,-0.038631650376267035,0.038631650376267035,0.8944271909999154,0.8557955406236484,0.04319149816216923,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.9480928224599104,0.053665631459995033,0.8557955406236485
dephasing,0.08,1,1.0,0.5,0.16469299281539884,-0.1920109346926811,-0.02731794187728226,0.02731794187728226,0.8944271909999154,0.8671092491226331,0.03054238752149569,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.9659813662799087,0.0715541752799933,0.8671092491226333
dephasing,0.1,1,1.0,0.5,0.15903613856590648,-0.175040371944204,-0.01600423337829751,0.01600423337829751,0.8944271909999154,0.8784229576216179,0.01789327688082218,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.983869910099907,0.08944271909999157,0.8784229576216179
dephasing,0.12,1,1.0,0.5,0.15337928431641407,-0.15806980919572683,-0.004690524879312763,0.004690524879312763,0.8944271909999154,0.8897366661206026,0.005244166240148671,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,1.0017584539199056,0.10733126291999018,0.889736666120603
dephasing,0.14,1,1.0,0.5,0.1477224300669217,-0.14109924644724975,0.006623183619671957,-0.006623183619671957,0.8944271909999154,0.9010503746195874,-0.007404944400524809,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,1.0196469977399036,0.12521980673998823,0.9010503746195876
dephasing,0.16,1,1.0,0.5,0.14206557581742935,-0.12412868369877243,0.017936892118656914,-0.017936892118656914,0.8944271909999154,0.9123640831185723,-0.020054055041198553,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,1.0375355415599021,0.14310835055998672,0.9123640831185724
dephasing,0.18,1,1.0,0.5,0.13640872156793699,-0.10715812095029542,0.029250600617641564,-0.029250600617641564,0.8944271909999154,0.9236777916175569,-0.032703165681871954,0.1608752771983211,1.0000000000000002,-9.109263393802676e-17,0.8944271909999154,1.0554240853799006,0.1609968943799852,0.9236777916175574
dephasing,0.2,1,1.0,0.5,0.13075186731844454,-0.09018755820181822,0.040564309116626326,-0.040564309116626326,0.8944271909999154,0.9349915001165418,-0.04535227632254548,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,1.0733126291998987,0.17888543819998326,0.934991500116542
dephasing,0.22,1,1.0,0.5,0.1250950130689522,-0.07321699545334108,0.05187801761561113,-0.05187801761561113,0.8944271909999154,0.9463052086155266,-0.05800138696321905,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,1.091201173019897,0.19677398201998153,0.9463052086155267
dephasing,0.24,1,1.0,0.5,0.11943815881945977,-0.05624643270486396,0.06319172611459581,-0.06319172611459581,0.8944271909999154,0.9576189171145112,-0.07065049760389248,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,1.1090897168398952,0.2146625258399798,0.9576189171145114
dephasing,0.26,1,1.0,0.5,0.11378130456996742,-0.03927586995638685,0.07450543461358057,-0.07450543461358057,0.8944271909999154,0.968932625613496,-0.083299608244566,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,1.1269782606598935,0.23255106965997807,0.968932625613496
dephasing,0.28,1,1.0,0.5,0.10812445032047505,-0.02230530720790963,0.08581914311256542,-0.08581914311256542,0.8944271909999154,0.9802463341124809,-0.09594871888523963,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,1.1448668044798922,0.2504396134799768,0.9802463341124811
dephasing,0.3,1,1.0,0.5,0.10246759607098262,-0.005334744459432522,0.0971328516115501,-0.0971328516115501,0.8944271909999154,0.9915600426114655,-0.10859782952591306,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,1.1627553482998905,0.26832815729997506,0.9915600426114658
dephasing,0.32,1,1.0,0.5,0.09681074182149026,0.011635818289044642,0.1084465601105349,-0.1084465601105349,0.8944271909999154,1.0028737511104504,-0.12124694016658663,0.1608752771983211,0.9999999999999997,-9.109263393802676e-17,0.8944271909999154,1.1806438921198885,0.2862167011199731,1.0028737511104504
dephasing,0.34,1,1.0,0.5,0.0911538875719979,0.028606381037521805,0.1197602686095197,-0.1197602686095197,0.8944271909999154,1.0141874596094351,-0.1338960508072602,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,1.198532435939887,0.3041052449399716,1.0141874596094353
dephasing,0.36,1,1.0,0.5,0.08549703332250551,0.045576943785998816,0.13107397710850432,-0.13107397710850432,0.8944271909999154,1.0255011681084198,-0.1465451614479336,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,1.2164209797598853,0.32199378875996987,1.02550116810842
dephasing,0.38,1,1.0,0.5,0.07984017907301312,0.06254750653447602,0.14238768560748916,-0.14238768560748916,0.8944271909999154,1.0368148766074046,-0.15919427208860717,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,1.2343095235798838,0.33988233257996836,1.036814876607405
