h_over_k,h,k,H1,V,E1,E_B,E_A,E_A_minus_E_B,E_B_over_E_A,phi,trace_final,initial_energy,post_alice_energy,post_noise_energy,noise_energy_delta,final_global_energy
0.2,0.2,1.0,0.019322483223437006,-0.02891302903813775,-0.009590545814700743,0.009590545814700743,0.03922322702763671,0.02963268121293597,0.2445119012758241,0.04886345367935937,1.0,-5.573694189907781e-17,0.03922322702763671,0.03922322702763671,0.0,0.029632681212935885
0.3,0.3,1.0,0.04170222979083024,-0.06222013529429254,-0.020517905503462296,0.020517905503462296,0.0862043656699037,0.06568646016644139,0.23801469153000981,0.07128342343418492,0.9999999999999998,-5.53772116466782e-17,0.0862043656699037,0.0862043656699037,0.0,0.06568646016644145
0.4,0.4,1.0,0.07010981648636788,-0.10420796961132217,-0.03409815312495429,0.03409815312495429,0.1485562705416411,0.11445811741668682,0.22953021774598464,0.09155540863124206,0.9999999999999999,-4.760218703645635e-16,0.1485562705416411,0.1485562705416411,0.0,0.11445811741668721
0.5,0.5,1.0,0.10233898523181245,-0.15143061829083193,-0.04909163305901948,0.04909163305901948,0.22360679774997902,0.17451516469095954,0.21954445729288696,0.10933447293697098,0.9999999999999998,-1.5552241703839905e-17,0.22360679774997902,0.22360679774997902,0.0,0.17451516469095962
0.6,0.6,1.0,0.13628872191670865,-0.20066671901721422,-0.06437799710050557,0.06437799710050557,0.3086974532565165,0.24431945615601092,0.2085472245441875,0.12448135289635853,1.0,5.222002778559242e-16,0.3086974532565165,0.3086974532565165,0.0,0.24431945615601053
0.7,0.7,1.0,0.1701783437446555,-0.24925287169395394,-0.07907452794929842,0.07907452794929842,0.40142364105433004,0.3223491131050316,0.19698522922469383,0.13702557250124073,1.0000000000000002,3.466166132157281e-18,0.40142364105433004,0.40142364105433004,0.0,0.3223491131050316
0.8,0.8,1.0,0.20264349696025646,-0.29521576288445794,-0.09257226592420148,0.09257226592420148,0.49975603804353963,0.40718377211933815,0.18523491239166665,0.1471172825555939,1.0,4.8528228979835803e-17,0.49975603804353963,0.49975603804353963,0.0,0.4071837721193381
0.8999999999999999,0.8999999999999999,1.0,0.23274004886428656,-0.3372547178558799,-0.10451466899159334,0.10451466899159334,0.6020682584602046,0.4975535894686113,0.17359272395274686,0.15498058782678295,0.9999999999999998,1.3261525096867535e-16,0.6020682584602046,0.6020682584602046,0.0,0.49755358946861106
1.0,1.0,1.0,0.2598931856865897,-0.3746408196267372,-0.11474763394014748,0.11474763394014748,0.7071067811865472,0.5923591472463998,0.16227766016837988,0.1608752771983211,1.0,-2.883246210460322e-16,0.7071067811865472,0.7071067811865472,0.0,0.5923591472464
1.0999999999999999,1.0999999999999999,1.0,0.28382345598616654,-0.4070862293606692,-0.12326277337450264,0.12326277337450264,0.8139340807355373,0.6906713073610347,0.15144073247690076,0.16506902787328542,1.0,-3.6537844775770263e-16,0.8139340807355373,0.8139340807355373,0.0,0.6906713073610353
